RPM;T_Nm
500;5.97134
1000;5.97134
1500;5.97134
2000;5.97134
2500;5.97134
3000;5.97134
3500;5.45951
4000;4.77707
4500;4.24628
5000;3.82166
5500;4.34279
6000;4.77707
6500;5.14454
7000;5.45951
7500;5.73248
8000;5.97134
8500;5.80742
9000;5.66171
9500;5.53134
10000;5.41401
10500;5.30786
11000;5.21135
11500;4.98477
12000;4.77707
12500;4.39490
13000;4.04214
13500;3.71550
14000;3.41219
14500;2.63562
15000;2.12314
15500;1.64372
16000;1.19427
