"Format,""AIM CSV File"""
"Venue,""Mariembourg"""
"Vehicle,""None"""
"User,""Rene"""
"Data Source,""AIM Data Logger"""
"Comment,"""""
"Date,""03/31/19"""
"Time,""12:29:53"""
"Sample Rate,""10"""
"Duration,""62.725"""
"Segment,""Lap 5 - 1:02.725"""

"Time,""Distance"",""RPM"",""GPS_Speed"",""GPS_LatAcc"",""GPS_LonAcc"",""GPS_Slope"",""GPS_Heading"",""GPS_Gyro"",""GPS_Altitude"","
"Time,""Distance"",""RPM"",""GPS_Speed"",""GPS_LatAcc"",""GPS_LonAcc"",""GPS_Slope"",""GPS_Heading"",""GPS_Gyro"",""GPS_Altitude"","
"sec,""km"",""rpm"",""km/h"",""g"",""g"",""deg"",""deg"",""deg/s"",""m"","
","""",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"","

4.600,0.119,12343.149414,84.274002,1.604001,-0.026245,-0.917558,-161.193237,37.866913,160.429840
4.700,0.121,12274.200195,84.252007,1.613255,0.007597,-0.881920,-157.541199,38.282654,160.398438
4.800,0.123,12299.711914,84.413002,1.540116,0.028731,-0.864961,-153.949448,36.446438,160.369141
4.900,0.126,12339.624023,84.462997,1.445384,0.038635,-0.859002,-150.426453,33.987762,160.339951
5.000,0.128,12389.117188,84.578003,1.402645,0.059067,-0.831614,-146.981140,32.982567,160.311279
5.100,0.131,12436.220703,84.852005,1.400402,0.057283,-0.795976,-143.656830,32.841385,160.279465
5.200,0.133,12420.105469,85.017334,1.423613,0.019426,-0.773058,-140.516327,33.425804,160.234711
5.300,0.135,12407.997070,85.084000,1.435123,0.002193,-0.753119,-137.602493,33.951550,160.187134
5.400,0.138,12372.782227,85.150673,1.359690,0.036366,-0.744639,-134.943756,32.299141,160.148132
5.500,0.140,12377.375977,85.278000,1.181456,0.083018,-0.744639,-132.554520,27.981789,160.123886
5.600,0.142,12410.629883,85.604004,0.960968,0.106242,-0.734212,-130.457718,22.631741,160.101868
5.700,0.145,12447.296875,85.978004,0.748332,0.097421,-0.692615,-128.673294,17.544333,160.081863
5.800,0.147,12564.733398,86.252007,0.556651,0.076377,-0.652737,-127.209732,13.022091,160.059448
5.900,0.150,12610.236328,86.478004,0.377614,0.074962,-0.638757,-126.064049,8.828957,160.034531
6.000,0.152,12566.631836,86.804001,0.209310,0.100034,-0.645747,-125.215843,4.846671,160.006104
6.100,0.154,12611.601563,87.229996,0.078378,0.123883,-0.641507,-124.616295,1.712362,159.976883
