RPM;T_Nm
500;5.5
8000;11
10000;20.9
10500;20.9
11000;20.9
11500;20.35
12000;19.8
12500;19.25
13000;18.7
13500;18.15
14000;17.05
14500;15.4
15000;8.8
15500;5.5
16000;0
